exchange,name,token,trading_symbol,lot_size,tick_size
NSE,011NSETEST,14747,011NSETEST-EQ,1,0.05
NSE,GSMFOILS,23891,GSMFOILS-ST,4000,0.05
NSE,GSLSU,14599,GSLSU-EQ,1,0.01
NSE,GSFC,1247,GSFC-EQ,1,0.01
NSE,GRWRHITECH,7982,GRWRHITECH-EQ,1,0.05
NSE,GRSE,5475,GRSE-EQ,1,0.05
NSE,GRPLTD,6549,GRPLTD-BE,1,0.05
NSE,GROBTEA,17774,GROBTEA-BE,1,0.05
NSE,GRMOVER,10871,GRMOVER-EQ,1,0.05
NSE,GRINFRA,5054,GRINFRA-EQ,1,0.05
NSE,GRINDWELL,13560,GRINDWELL-EQ,1,0.05
NSE,GRETEX,18742,GRETEX-ST,3000,0.05
NSE,GREENPOWER,20110,GREENPOWER-EQ,1,0.01
NSE,GREENPLY,3987,GREENPLY-EQ,1,0.05
NSE,GREENPANEL,13810,GREENPANEL-EQ,1,0.05
NSE,GREENLAM,6848,GREENLAM-EQ,1,0.05
NSE,GSPL,13197,GSPL-EQ,1,0.05
NSE,GREENCHEF,17092,GREENCHEF-SM,800,0.05
NSE,GSS,15347,GSS-EQ,1,0.01
NSE,GTECJAINX,1135,GTECJAINX-BE,1,0.01
NSE,HAPPSTMNDS,48,HAPPSTMNDS-EQ,1,0.05
NSE,HAL,2303,HAL-EQ,1,0.05
NSE,GVPTECH,10865,GVPTECH-EQ,1,0.01
NSE,GVKPIL,13229,GVKPIL-BE,1,0.01
NSE,GULPOLY,6286,GULPOLY-EQ,1,0.01
NSE,GULFPETRO,11581,GULFPETRO-EQ,1,0.01
NSE,GULFOILLUB,4391,GULFOILLUB-EQ,1,0.05
NSE,GUJRAFFIA,4548,GUJRAFFIA-EQ,1,0.01
NSE,GUJGASLTD,10599,GUJGASLTD-EQ,1,0.05
NSE,GUJAPOLLO,14681,GUJAPOLLO-BE,1,0.05
NSE,GUJALKALI,1267,GUJALKALI-EQ,1,0.05
NSE,GUFICBIO,11606,GUFICBIO-EQ,1,0.05
NSE,GTPL,21195,GTPL-EQ,1,0.01
NSE,GTLINFRA,13745,GTLINFRA-EQ,1,0.01
NSE,GTL,1162,GTL-EQ,1,0.01
NSE,GSTL,9764,GSTL-SM,1000,0.05
NSE,GREAVESCOT,1235,GREAVESCOT-EQ,1,0.01
NSE,GRCL,14055,GRCL-ST,500,0.05
NSE,GRAVITA,20534,GRAVITA-EQ,1,0.05
NSE,GOKUL,16705,GOKUL-EQ,1,0.01
NSE,GOKEX,11778,GOKEX-EQ,1,0.05
NSE,GODREJPROP,17875,GODREJPROP-EQ,1,0.05
NSE,GODREJIND,10925,GODREJIND-EQ,1,0.05
NSE,GODREJCP,10099,GODREJCP-EQ,1,0.05
NSE,GODREJAGRO,144,GODREJAGRO-EQ,1,0.05
NSE,GODIGIT,23799,GODIGIT-EQ,1,0.05
NSE,GODHA,1607,GODHA-EQ,1,0.01
NSE,GODFRYPHLP,1181,GODFRYPHLP-EQ,1,0.05
NSE,GOCOLORS,6964,GOCOLORS-EQ,1,0.05
NSE,GOCLCORP,3963,GOCLCORP-EQ,1,0.05
NSE,GOACARBON,14687,GOACARBON-EQ,1,0.05
NSE,GNFC,1174,GNFC-EQ,1,0.05
NSE,GNA,18571,GNA-EQ,1,0.05
NSE,GMRP&UI,8529,GMRP&UI-EQ,1,0.01
NSE,GOKULAGRO,14480,GOKULAGRO-EQ,1,0.05
NSE,GOLDENTOBC,11619,GOLDENTOBC-BZ,1,0.01
NSE,GOLDIAM,11971,GOLDIAM-EQ,1,0.05
NSE,GOLDKART,13701,GOLDKART-ST,1250,0.05
NSE,GRASIMPP1,24767,GRASIMPP1-E1,1,0.05
NSE,GRASIM,1232,GRASIM-EQ,1,0.05
NSE,GRAPHITE,592,GRAPHITE-EQ,1,0.05
NSE,GRAPHISAD,20464,GRAPHISAD-ST,1200,0.05
NSE,GRANULES,11872,GRANULES-EQ,1,0.05
NSE,GPTINFRA,17685,GPTINFRA-EQ,1,0.01
NSE,GPTHEALTH,22846,GPTHEALTH-EQ,1,0.01
NSE,HAPPYFORGE,20854,HAPPYFORGE-EQ,1,0.05
NSE,GPPL,19731,GPPL-EQ,1,0.01
NSE,GPECO,24108,GPECO-SM,1200,0.05
NSE,GOYALSALT,19356,GOYALSALT-SM,600,0.05
NSE,GOYALALUM,11787,GOYALALUM-EQ,1,0.01
NSE,GOPAL,23066,GOPAL-EQ,1,0.05
NSE,GOODLUCK,6125,GOODLUCK-EQ,1,0.05
NSE,GOLDTECH,9878,GOLDTECH-BE,1,0.01
NSE,GOLDSTAR,1,GOLDSTAR-SM,11250,0.05
NSE,GPIL,13409,GPIL-EQ,1,0.05
NSE,GMRINFRA,13528,GMRINFRA-EQ,1,0.01
NSE,HARDWYN,8962,HARDWYN-EQ,1,0.01
NSE,HARRMALAYA,7906,HARRMALAYA-BE,1,0.05
NSE,HMAAGRO,17053,HMAAGRO-EQ,1,0.01
NSE,HLVLTD,1448,HLVLTD-EQ,1,0.01
NSE,HLEGLAS,2289,HLEGLAS-EQ,1,0.05
NSE,HITECHGEAR,8568,HITECHGEAR-BE,1,0.05
NSE,HITECHCORP,15161,HITECHCORP-EQ,1,0.05
NSE,HITECH,2868,HITECH-EQ,1,0.01
NSE,HISARMETAL,19322,HISARMETAL-EQ,1,0.01
NSE,HIRECT,13890,HIRECT-EQ,1,0.05
NSE,HINDZINC,1424,HINDZINC-EQ,1,0.05
NSE,HINDWAREAP,15883,HINDWAREAP-EQ,1,0.05
NSE,HINDUNILVR,1394,HINDUNILVR-EQ,1,0.05
NSE,HINDPETRO,1406,HINDPETRO-EQ,1,0.05
NSE,HINDOILEXP,1403,HINDOILEXP-EQ,1,0.01
NSE,HINDMOTORS,21679,HINDMOTORS-BE,1,0.01
NSE,HINDCOPPER,17939,HINDCOPPER-EQ,1,0.05
NSE,HMT,19698,HMT-BZ,1,0.01
NSE,HINDCON,4920,HINDCON-EQ,1,0.01
NSE,HMVL,19211,HMVL-EQ,1,0.01
NSE,HOACFOODS,23822,HOACFOODS-SM,3000,0.05
NSE,HUDCO,20825,HUDCO-EQ,1,0.01
NSE,HUBTOWN,14207,HUBTOWN-BE,1,0.05
NSE,HTMEDIA,11979,HTMEDIA-EQ,1,0.01
NSE,HSCL,14334,HSCL-EQ,1,0.05
NSE,HRHNEXT,21120,HRHNEXT-ST,3000,0.05
NSE,HPL,18679,HPL-EQ,1,0.05
NSE,HPIL,11796,HPIL-EQ,1,0.01
NSE,HPAL,7376,HPAL-EQ,1,0.01
NSE,HOVS,13595,HOVS-BE,1,0.01
NSE,HONDAPOWER,3138,HONDAPOWER-EQ,1,0.05
NSE,HONAUT,3417,HONAUT-EQ,1,0.05
NSE,HONASA,19813,HONASA-EQ,1,0.05
NSE,HOMESFY,13526,HOMESFY-SM,300,0.05
NSE,HOMEFIRST,2056,HOMEFIRST-EQ,1,0.05
NSE,HOLMARC,18649,HOLMARC-SM,1500,0.05
NSE,HNDFDS,12173,HNDFDS-EQ,1,0.05
NSE,HINDCOMPOS,1372,HINDCOMPOS-EQ,1,0.05
NSE,HINDALCO,1363,HINDALCO-EQ,1,0.05
NSE,HDIL,17920,HDIL-BZ,1,0.01
NSE,HDFCLIFE,467,HDFCLIFE-EQ,1,0.05
NSE,HDFCBANK,1333,HDFCBANK-EQ,1,0.05
NSE,HDFCAMC,4244,HDFCAMC-EQ,1,0.05
NSE,HCLTECH,7229,HCLTECH-EQ,1,0.05
NSE,HCL-INSYS,5735,HCL-INSYS-BE,1,0.01
NSE,HCG,15555,HCG-EQ,1,0.05
NSE,HCC,1375,HCC-EQ,1,0.01
NSE,HBSL,4118,HBSL-BE,1,0.01
NSE,HBLPOWER,13966,HBLPOWER-EQ,1,0.05
NSE,HAVISHA,8417,HAVISHA-BE,1,0.01
NSE,HAVELLS,9819,HAVELLS-EQ,1,0.05
NSE,HATSUN,3892,HATSUN-EQ,1,0.05
NSE,HATHWAY,18154,HATHWAY-EQ,1,0.01
NSE,HARSHA,11162,HARSHA-EQ,1,0.05
NSE,HEADSUP,19205,HEADSUP-EQ,1,0.01
NSE,HECPROJECT,7425,HECPROJECT-EQ,1,0.01
NSE,HEG,1336,HEG-EQ,1,0.05
NSE,HEIDELBERG,2316,HEIDELBERG-EQ,1,0.01
NSE,HIMATSEIDE,1360,HIMATSEIDE-EQ,1,0.01
NSE,HILTON,14627,HILTON-EQ,1,0.01
NSE,HIL,1455,HIL-EQ,1,0.05
NSE,HIKAL,9668,HIKAL-EQ,1,0.05
NSE,HIGREEN,18804,HIGREEN-ST,800,0.05
NSE,HGS,14712,HGS-EQ,1,0.05
NSE,HGINFRA,1672,HGINFRA-EQ,1,0.05
NSE,HARIOMPIPE,8968,HARIOMPIPE-EQ,1,0.05
NSE,HFCL,21951,HFCL-EQ,1,0.01
NSE,HEUBACHIND,715,HEUBACHIND-EQ,1,0.05
NSE,HESTERBIO,7048,HESTERBIO-EQ,1,0.05
NSE,HEROMOTOCO,1348,HEROMOTOCO-EQ,1,0.05
NSE,HERITGFOOD,4598,HERITGFOOD-EQ,1,0.05
NSE,HERCULES,15288,HERCULES-EQ,1,0.05
NSE,HERANBA,2614,HERANBA-EQ,1,0.05
NSE,HEMIPROP,701,HEMIPROP-EQ,1,0.01
NSE,HEXATRADEX,27012,HEXATRADEX-BE,1,0.05
NSE,HUHTAMAKI,2562,HUHTAMAKI-EQ,1,0.05
NSE,GMMPFAUDLR,1570,GMMPFAUDLR-EQ,1,0.05
NSE,GMBREW,1168,GMBREW-EQ,1,0.05
NSE,FCL,6198,FCL-EQ,1,0.05
NSE,FAZE3Q,12000,FAZE3Q-EQ,1,0.05
NSE,FALCONTECH,24150,FALCONTECH-SM,1200,0.05
NSE,FAIRCHEMOR,1614,FAIRCHEMOR-EQ,1,0.05
NSE,FACT,1008,FACT-EQ,1,0.05
NSE,EXXARO,5352,EXXARO-EQ,1,0.01
NSE,EXPLEOSOL,17486,EXPLEOSOL-EQ,1,0.05
NSE,EXIDEIND,676,EXIDEIND-EQ,1,0.05
NSE,EXICOM,22947,EXICOM-EQ,1,0.05
NSE,EXCELLENT,25324,EXCELLENT-SM,1600,0.05
NSE,EXCELINDUS,11471,EXCELINDUS-EQ,1,0.05
NSE,EXCEL,17376,EXCEL-EQ,1,0.01
NSE,EVERESTIND,993,EVERESTIND-EQ,1,0.05
NSE,EVEREADY,11782,EVEREADY-EQ,1,0.05
NSE,EUROTEXIND,8886,EUROTEXIND-BE,1,0.01
NSE,FCSSOFT,11999,FCSSOFT-EQ,1,0.01
NSE,EUROBOND,7331,EUROBOND-SM,1000,0.05
NSE,FDC,4898,FDC-EQ,1,0.05
NSE,FEDFINA,20322,FEDFINA-EQ,1,0.01
NSE,FLAIR,20372,FLAIR-EQ,1,0.05
NSE,FIVESTAR,12032,FIVESTAR-EQ,1,0.05
NSE,FIRSTCRY,24814,FIRSTCRY-EQ,1,0.05
NSE,FINPIPE,1041,FINPIPE-EQ,1,0.05
NSE,FINOPB,6579,FINOPB-EQ,1,0.05
NSE,FINEORG,3744,FINEORG-EQ,1,0.05
NSE,FINCABLES,1038,FINCABLES-EQ,1,0.05
NSE,FILATFASH,23651,FILATFASH-BE,1,0.01
NSE,FILATEX,24532,FILATEX-EQ,1,0.01
