exchange,token,lot_size,name,trading_symbol,tick_size
NFO,139701,900,ZYDUSLIFE,ZYDUSLIFE26DEC24P1520,0.05
NFO,139700,900,ZYDUSLIFE,ZYDUSLIFE26DEC24C1520,0.05
NFO,139699,900,ZYDUSLIFE,ZYDUSLIFE26DEC24P1440,0.05
NFO,139698,900,ZYDUSLIFE,ZYDUSLIFE26DEC24C1440,0.05
NFO,139697,900,ZYDUSLIFE,ZYDUSLIFE26DEC24P1400,0.05
NFO,139696,900,ZYDUSLIFE,ZYDUSLIFE26DEC24C1400,0.05
NFO,139695,900,ZYDUSLIFE,ZYDUSLIFE26DEC24P1360,0.05
NFO,139694,900,ZYDUSLIFE,ZYDUSLIFE26DEC24C1360,0.05
NFO,139693,900,ZYDUSLIFE,ZYDUSLIFE26DEC24P1320,0.05
NFO,139692,900,ZYDUSLIFE,ZYDUSLIFE26DEC24C1320,0.05
NFO,139691,900,ZYDUSLIFE,ZYDUSLIFE26DEC24P1280,0.05
NFO,139690,900,ZYDUSLIFE,ZYDUSLIFE26DEC24C1280,0.05
NFO,139689,900,ZYDUSLIFE,ZYDUSLIFE26DEC24P1240,0.05
NFO,139688,900,ZYDUSLIFE,ZYDUSLIFE26DEC24C1240,0.05
NFO,139687,900,ZYDUSLIFE,ZYDUSLIFE26DEC24P1200,0.05
NFO,139686,900,ZYDUSLIFE,ZYDUSLIFE26DEC24C1200,0.05
NFO,139685,900,ZYDUSLIFE,ZYDUSLIFE26DEC24P1160,0.05
NFO,139684,900,ZYDUSLIFE,ZYDUSLIFE26DEC24C1160,0.05
NFO,139683,900,ZYDUSLIFE,ZYDUSLIFE26DEC24P1120,0.05
NFO,139682,900,ZYDUSLIFE,ZYDUSLIFE26DEC24C1120,0.05
NFO,139681,900,ZYDUSLIFE,ZYDUSLIFE26DEC24P1080,0.05
NFO,139670,900,ZYDUSLIFE,ZYDUSLIFE26DEC24C1080,0.05
NFO,139669,900,ZYDUSLIFE,ZYDUSLIFE26DEC24P1040,0.05
NFO,139668,900,ZYDUSLIFE,ZYDUSLIFE26DEC24C1040,0.05
NFO,139667,900,ZYDUSLIFE,ZYDUSLIFE26DEC24P1000,0.05
NFO,139666,900,ZYDUSLIFE,ZYDUSLIFE26DEC24C1000,0.05
NFO,139665,900,ZYDUSLIFE,ZYDUSLIFE26DEC24P960,0.05
NFO,139664,900,ZYDUSLIFE,ZYDUSLIFE26DEC24C960,0.05
NFO,139663,900,ZYDUSLIFE,ZYDUSLIFE26DEC24P920,0.05
NFO,139662,900,ZYDUSLIFE,ZYDUSLIFE26DEC24C920,0.05
NFO,139661,900,ZYDUSLIFE,ZYDUSLIFE26DEC24P880,0.05
NFO,139660,900,ZYDUSLIFE,ZYDUSLIFE26DEC24C880,0.05
NFO,139659,900,ZYDUSLIFE,ZYDUSLIFE26DEC24P840,0.05
NFO,139658,900,ZYDUSLIFE,ZYDUSLIFE26DEC24C840,0.05
NFO,139657,900,ZYDUSLIFE,ZYDUSLIFE26DEC24P800,0.05
NFO,139656,900,ZYDUSLIFE,ZYDUSLIFE26DEC24C800,0.05
NFO,139655,900,ZYDUSLIFE,ZYDUSLIFE26DEC24P760,0.05
NFO,139654,900,ZYDUSLIFE,ZYDUSLIFE26DEC24C760,0.05
NFO,139653,900,ZYDUSLIFE,ZYDUSLIFE26DEC24P720,0.05
NFO,139652,900,ZYDUSLIFE,ZYDUSLIFE26DEC24C720,0.05
NFO,139651,900,ZYDUSLIFE,ZYDUSLIFE26DEC24P640,0.05
NFO,139650,900,ZYDUSLIFE,ZYDUSLIFE26DEC24C640,0.05
NFO,139649,900,ZYDUSLIFE,ZYDUSLIFE26DEC24P560,0.05
NFO,139648,900,ZYDUSLIFE,ZYDUSLIFE26DEC24C560,0.05
NFO,139647,900,ZYDUSLIFE,ZYDUSLIFE28NOV24P1560,0.05
NFO,139646,900,ZYDUSLIFE,ZYDUSLIFE28NOV24C1560,0.05
NFO,139645,900,ZYDUSLIFE,ZYDUSLIFE28NOV24P1420,0.05
NFO,139644,900,ZYDUSLIFE,ZYDUSLIFE28NOV24C1420,0.05
NFO,139643,900,ZYDUSLIFE,ZYDUSLIFE28NOV24P1380,0.05
NFO,139642,900,ZYDUSLIFE,ZYDUSLIFE28NOV24C1380,0.05
NFO,139641,900,ZYDUSLIFE,ZYDUSLIFE28NOV24P1340,0.05
NFO,139640,900,ZYDUSLIFE,ZYDUSLIFE28NOV24C1340,0.05
NFO,139639,900,ZYDUSLIFE,ZYDUSLIFE28NOV24P1300,0.05
NFO,139638,900,ZYDUSLIFE,ZYDUSLIFE28NOV24C1300,0.05
NFO,139637,900,ZYDUSLIFE,ZYDUSLIFE28NOV24P1260,0.05
NFO,139636,900,ZYDUSLIFE,ZYDUSLIFE28NOV24C1260,0.05
NFO,139635,900,ZYDUSLIFE,ZYDUSLIFE28NOV24P1220,0.05
NFO,139634,900,ZYDUSLIFE,ZYDUSLIFE28NOV24C1220,0.05
NFO,139633,900,ZYDUSLIFE,ZYDUSLIFE28NOV24P1180,0.05
NFO,139632,900,ZYDUSLIFE,ZYDUSLIFE28NOV24C1180,0.05
NFO,139631,900,ZYDUSLIFE,ZYDUSLIFE28NOV24P1140,0.05
NFO,139630,900,ZYDUSLIFE,ZYDUSLIFE28NOV24C1140,0.05
NFO,139629,900,ZYDUSLIFE,ZYDUSLIFE28NOV24P1100,0.05
NFO,139628,900,ZYDUSLIFE,ZYDUSLIFE28NOV24C1100,0.05
NFO,139627,900,ZYDUSLIFE,ZYDUSLIFE28NOV24P1060,0.05
NFO,139626,900,ZYDUSLIFE,ZYDUSLIFE28NOV24C1060,0.05
NFO,139625,900,ZYDUSLIFE,ZYDUSLIFE28NOV24P1020,0.05
NFO,139624,900,ZYDUSLIFE,ZYDUSLIFE28NOV24C1020,0.05
NFO,139623,900,ZYDUSLIFE,ZYDUSLIFE28NOV24P980,0.05
NFO,139622,900,ZYDUSLIFE,ZYDUSLIFE28NOV24C980,0.05
NFO,139621,900,ZYDUSLIFE,ZYDUSLIFE28NOV24P940,0.05
NFO,139620,900,ZYDUSLIFE,ZYDUSLIFE28NOV24C940,0.05
NFO,139619,900,ZYDUSLIFE,ZYDUSLIFE28NOV24P900,0.05
NFO,139618,900,ZYDUSLIFE,ZYDUSLIFE28NOV24C900,0.05
NFO,139617,900,ZYDUSLIFE,ZYDUSLIFE28NOV24P860,0.05
NFO,139616,900,ZYDUSLIFE,ZYDUSLIFE28NOV24C860,0.05
NFO,139615,900,ZYDUSLIFE,ZYDUSLIFE28NOV24P820,0.05
NFO,139614,900,ZYDUSLIFE,ZYDUSLIFE28NOV24C820,0.05
NFO,139613,900,ZYDUSLIFE,ZYDUSLIFE28NOV24P780,0.05
NFO,139612,900,ZYDUSLIFE,ZYDUSLIFE28NOV24C780,0.05
NFO,139611,900,ZYDUSLIFE,ZYDUSLIFE28NOV24P740,0.05
NFO,139610,900,ZYDUSLIFE,ZYDUSLIFE28NOV24C740,0.05
NFO,139607,900,ZYDUSLIFE,ZYDUSLIFE28NOV24P600,0.05
NFO,139606,900,ZYDUSLIFE,ZYDUSLIFE28NOV24C600,0.05
NFO,139605,1500,WIPRO,WIPRO26DEC24P780,0.05
NFO,139604,1500,WIPRO,WIPRO26DEC24C780,0.05
NFO,139603,1500,WIPRO,WIPRO26DEC24P760,0.05
NFO,139602,1500,WIPRO,WIPRO26DEC24C760,0.05
NFO,139601,1500,WIPRO,WIPRO26DEC24P740,0.05
NFO,139600,1500,WIPRO,WIPRO26DEC24C740,0.05
NFO,139599,1500,WIPRO,WIPRO26DEC24P720,0.05
NFO,139566,1500,WIPRO,WIPRO26DEC24C720,0.05
NFO,139565,1500,WIPRO,WIPRO26DEC24P710,0.05
NFO,139562,1500,WIPRO,WIPRO26DEC24C710,0.05
NFO,139561,1500,WIPRO,WIPRO26DEC24P700,0.05
NFO,139560,1500,WIPRO,WIPRO26DEC24C700,0.05
NFO,139559,1500,WIPRO,WIPRO26DEC24P690,0.05
NFO,139556,1500,WIPRO,WIPRO26DEC24C690,0.05
NFO,139555,1500,WIPRO,WIPRO26DEC24P680,0.05
NFO,139554,1500,WIPRO,WIPRO26DEC24C680,0.05
NFO,139553,1500,WIPRO,WIPRO26DEC24P670,0.05
NFO,139552,1500,WIPRO,WIPRO26DEC24C670,0.05
NFO,139551,1500,WIPRO,WIPRO26DEC24P660,0.05
NFO,139550,1500,WIPRO,WIPRO26DEC24C660,0.05
NFO,139549,1500,WIPRO,WIPRO26DEC24P650,0.05
NFO,139546,1500,WIPRO,WIPRO26DEC24C650,0.05
NFO,139545,1500,WIPRO,WIPRO26DEC24P640,0.05
NFO,139544,1500,WIPRO,WIPRO26DEC24C640,0.05
NFO,139543,1500,WIPRO,WIPRO26DEC24P630,0.05
NFO,139542,1500,WIPRO,WIPRO26DEC24C630,0.05
NFO,139541,1500,WIPRO,WIPRO26DEC24P620,0.05
NFO,139540,1500,WIPRO,WIPRO26DEC24C620,0.05
NFO,139539,1500,WIPRO,WIPRO26DEC24P610,0.05
NFO,139536,1500,WIPRO,WIPRO26DEC24C610,0.05
NFO,139535,1500,WIPRO,WIPRO26DEC24P600,0.05
NFO,139534,1500,WIPRO,WIPRO26DEC24C600,0.05
NFO,139533,1500,WIPRO,WIPRO26DEC24P590,0.05
NFO,139532,1500,WIPRO,WIPRO26DEC24C590,0.05
NFO,139531,1500,WIPRO,WIPRO26DEC24P580,0.05
NFO,139530,1500,WIPRO,WIPRO26DEC24C580,0.05
NFO,139529,1500,WIPRO,WIPRO26DEC24P570,0.05
NFO,139526,1500,WIPRO,WIPRO26DEC24C570,0.05
NFO,139525,1500,WIPRO,WIPRO26DEC24P560,0.05
NFO,139524,1500,WIPRO,WIPRO26DEC24C560,0.05
NFO,139523,1500,WIPRO,WIPRO26DEC24P550,0.05
NFO,139522,1500,WIPRO,WIPRO26DEC24C550,0.05
NFO,139521,1500,WIPRO,WIPRO26DEC24P540,0.05
NFO,139519,1500,WIPRO,WIPRO26DEC24C540,0.05
NFO,139516,1500,WIPRO,WIPRO26DEC24P530,0.05
NFO,139515,1500,WIPRO,WIPRO26DEC24C530,0.05
